source,target
1,2673
1,1743
1,7723
1,2184
2673,7820
2673,3598
2673,8608
2673,5183
1743,8146
1743,2624
7723,160
7723,1254
7723,2184
7723,5799
2184,6483
2184,4906
2805,2700
2805,4416
2805,785
2805,5840
785,2685
785,6535
785,8805
785,8340
785,7128
785,6214
785,6642
785,7231
785,4547
785,4769
785,3217
785,5533
785,3891
785,6165
785,1134
3,6340
3,326
3,6640
3,5214
3,6978
6340,390
6340,1194
6340,3751
6340,5149
6340,6640
326,8718
326,4570
326,1920
326,5214
326,3947
326,2399
6640,224
6640,3098
6640,3751
5214,1920
5214,3933
5214,5681
5214,7500
5214,6448
6978,823
6978,7503
6978,6400
6978,5175
4,4054
4,8105
4,7219
4,1120
4,5794
4,7109
4054,1120
4054,5794
4054,4119
8105,7219
8105,643
7219,2525
7219,5051
7219,5794
7219,643
7219,8357
1120,5862
5794,8515
5794,7109
7109,4224
7109,5676
7109,7339
5805,2958
5805,3410
5805,8834
5805,7730
3410,2044
3410,2261
3410,2724
3410,2958
3410,5061
3410,6347
3410,4649
3698,4281
3698,3029
3698,7836
10,8095
10,372
10,6931
10,6733
11,8964
11,8816
11,6256
11,5310
11,1811
11,2276
11,4427
11,5049
11,5450
11,5401
8964,967
8964,1204
8964,6256
8816,2251
8816,3456
8816,4724
8816,7274
8816,9126
6256,1204
6256,2251
6256,2258
6256,3461
6256,4139
6256,5295
5310,670
5310,1266
5310,2328
5310,3381
5310,4427
5310,5049
5310,5093
5310,7267
5310,7274
5310,6784
5310,7639
5310,7719
1811,1130
1811,1266
1811,1865
2276,1041
2276,1945
2276,6958
2276,3941
2276,5450
2276,1130
4427,614
4427,1266
4427,2258
4427,3984
4427,6784
4427,5093
4427,2786
5049,3555
5049,5591
5049,7274
5049,9126
5049,7921
5049,7132
5049,347
6920,483
6920,3181
6920,4378
6920,8204
6920,1442
13,5209
13,5347
13,4518
5209,2120
5209,3608
5209,7426
5209,6658
5209,7407
5347,1657
5347,7426
5347,5924
4518,2627
4518,7426
4518,6559
14,7899
14,1106
14,2908
7899,2415
7899,4769
7899,6027
7899,7816
7899,5266
1106,3730
1106,2480
1106,4775
1106,2059
2908,663
2908,2480
15,874
15,2261
15,3094
15,2044
15,6347
15,8954
15,3594
874,9003
874,3094
874,3594
874,9011
874,7058
874,1766
874,5033
874,1053
2261,2044
3094,6347
3094,3594
3094,5152
2044,4649
2044,6347
16,355
16,8815
16,494
16,8900
16,2303
355,8913
355,494
355,8900
355,2587
355,9197
8815,1642
8815,5067
8815,6423
8815,8294
494,7499
494,9276
8900,4396
8900,7499
225,7424
225,6173
225,5523
225,5080
18,2178
18,2748
18,7015
2178,7015
2178,5107
2178,2310
2178,2422
2748,2310
2748,3597
19,3285
19,3424
19,8658
19,2143
3285,1848
3285,2143
3285,6891
3285,5971
3424,8008
3424,5170
8658,4150
8658,3994
2143,718
2143,8107
5539,4888
5539,6040
5539,9173
5539,5793
5539,1833
5793,7353
5793,9226
22,5980
22,5422
22,197
22,2820
5980,3757
5980,4738
5980,5422
5422,197
5422,3757
5422,4738
5422,8874
5422,6328
5422,6550
197,7375
197,724
23,5950
23,6562
23,1909
5950,1909
5950,2152
5950,5397
5950,6057
6562,2840
6562,7689
6562,6884
3596,129
3596,3091
3596,6349
3596,7103
3596,6120
3596,7910
3596,1354
8107,3994
8107,4150
8107,773
773,9017
773,3994
773,2696
26,6009
26,8942
26,3405
29,3129
1732,2480
1732,5079
1732,6522
34,4164
34,6988
34,1801
34,4197
34,7566
4164,365
4164,1797
4164,2341
4164,3732
4164,8754
4164,9139
4164,5269
6988,1372
6988,1801
6988,4593
1801,7856
1801,9139
4197,2301
4197,7566
4197,9139
7566,4533
7566,4901
7566,6402
7566,9139
35,9282
35,2711
35,5131
35,6003
35,8762
9282,662
9282,854
9282,4232
9282,8762
2711,6003
2711,5131
2711,4924
5131,6003
5131,1681
5131,8878
8762,2097
8762,1095
36,5150
36,815
36,8273
36,7002
36,3970
36,2083
5150,179
5150,2242
5150,2487
5150,5484
5150,6964
815,7484
815,8273
815,4881
815,3970
815,2598
815,3124
815,7255
8273,995
8273,2598
7002,2598
7002,8627
7002,8864
7002,7602
1098,5497
1098,4735
1098,6023
39,5557
39,247
39,6985
39,1297
39,2961
5557,5326
5557,1113
247,7928
247,5881
247,3027
247,1297
6985,440
6985,1297
6985,4832
1297,971
1297,4832
1297,7052
1297,7404
1297,2115
1297,2961
1297,7718
2961,7928
40,2563
40,3959
40,7283
2563,1694
2563,1792
2563,9031
2563,4257
3959,2072
3959,8938
3959,5938
3959,4257
3959,5211
7283,2072
7283,4257
2204,2631
2204,3628
2204,4131
2204,1853
2204,3251
43,2287
44,6118
44,1059
44,3771
44,3297
6118,1926
6118,6362
1059,4433
1059,1713
1059,3771
1059,721
3771,964
3771,3254
3771,8153
5033,3788
5033,7686
50,6293
50,1696
50,2712
50,7989
6293,7989
6293,6737
6293,5730
1696,1197
1696,4457
1696,7358
1696,2712
1696,5244
2712,7034
2712,7358
7989,6502
7989,8595
7989,8005
51,6923
51,5821
51,6177
51,7858
51,4749
5821,1979
5821,4749
6177,8419
6177,3734
7858,4749
7858,4771
4749,3143
53,2412
2412,4066
2412,8141
2412,3933
2412,6448
2412,5162
2412,1718
54,737
54,2476
54,7827
737,3377
737,2476
737,1092
2476,4762
2476,6083
55,1744
55,8810
55,2784
1744,437
1744,7478
1744,7343
1744,2784
8810,4992
8810,6292
8810,9018
2784,7343
56,8638
56,8079
56,3230
56,4838
8638,3230
8638,3775
8638,4838
8079,998
8079,2060
8079,4838
3230,4243
4838,3775
57,5923
57,4298
57,121
57,7038
57,4105
57,5690
5923,5609
5923,7038
5923,3057
4298,121
4298,7038
4298,3217
121,4105
121,1218
7038,3057
7038,4070
7038,4769
7038,5533
7038,5609
7038,5690
7038,6535
7038,6840
501,3656
501,5506
501,7150
501,2800
501,4685
501,8056
8056,5506
8056,7150
2359,6759
2359,4777
2359,4383
4239,3793
4239,3488
4239,1234
4239,1067
3488,3793
3488,4878
4101,65
4101,3555
4101,3579
4101,3866
4101,5591
4101,5907
4101,4980
4101,2691
63,655
63,8346
63,7169
63,2018
655,8372
655,8346
655,4314
8346,7659
65,5907
65,3555
65,6687
65,4980
65,3579
5907,4834
5907,6687
5907,6573
3555,600
3555,2073
3555,5591
3555,8942
3555,6685
3555,7267
6687,4834
4980,3579
4980,3866
4980,5591
7778,4509
7778,416
7778,6131
68,4195
68,281
68,6599
4195,3412
4195,9057
4195,6263
70,7532
70,1302
70,1201
70,3573
70,580
7532,580
7532,1505
7532,1739
7532,2942
7532,3267
7532,3295
7532,4153
7532,5549
7532,5716
7532,6401
7532,6710
7532,6881
7532,8458
7532,7721
7532,1471
7532,3573
1302,8694
1302,2942
1201,8203
1201,8694
1201,4276
1201,2478
3573,2942
3573,5722
3573,4194
3573,6772
3573,8682
580,3231
580,2942
5511,4978
72,8334
72,2975
72,6139
8334,7598
8334,3129
73,5281
73,5187
73,2726
73,7027
5281,367
5281,4860
5281,9026
5281,7027
5187,2726
5187,3323
5187,4860
2726,3784
2726,6723
7027,3990
1027,6984
1027,8453
1027,2849
1027,3300
1027,4108
1027,6076
75,7249
75,9259
75,5242
75,903
7249,552
7249,843
7249,4437
7249,4857
7249,6001
7249,7319
7249,8394
76,8541
76,3217
76,8074
76,2677
8541,284
8541,7463
3217,2677
3217,8074
8074,1445
2677,3499
2677,5137
79,1519
79,2898
79,4816
79,2577
79,9240
79,7217
79,9079
1519,7954
1519,5884
2898,3322
2898,1561
2898,5884
4816,3271
4816,6728
4816,9084
80,8087
80,7558
80,8557
8087,3009
8087,7558
8087,8557
8087,8984
8087,9022
7558,8251
7558,1291
8557,4941
8557,6886
6970,6569
7754,3381
7754,7102
7754,600
7754,4346
9220,6652
84,610
84,3935
84,1640
610,3935
610,5358
3935,6557
88,5754
88,2283
88,1989
5754,7142
5754,9092
5754,8039
1846,2886
1846,3757
1846,4632
1846,1253
1253,1251
1253,5354
90,4962
90,3797
90,7943
90,7632
90,2676
4962,2676
4962,8263
4962,1781
3797,1193
3797,2310
3797,6281
7943,403
7943,8263
7943,3530
7632,2676
7632,3202
2676,2310
2676,8358
2676,5107
2676,8263
214,4203
214,2577
214,5017
214,3408
214,3259
94,4405
94,2179
94,5356
94,3742
4405,1433
4405,6268
2179,7238
2179,8584
95,4872
95,2878
95,1739
95,8547
95,106
95,7101
95,5653
95,4901
4872,106
4872,1739
4872,7101
4872,8547
2878,1739
2878,2202
2878,7499
2878,2972
2878,8243
2878,4533
2878,3270
2878,6402
2878,4606
1739,1642
1739,4533
1739,3774
1739,7499
1739,6839
1739,2972
1739,3734
1739,9106
1739,6644
1739,3270
1739,3247
1739,1812
1739,6974
8547,106
8547,5653
8547,6231
8547,6710
106,1602
106,6231
106,5653
7101,831
7101,4062
5653,6710
5653,6135
4901,730
4901,1471
4901,1659
4901,2202
4901,2486
4901,3839
4901,4533
4901,7878
4901,7047
4901,6402
4901,6231
96,6929
96,481
96,8840
96,7542
6929,1659
6929,3295
6929,8981
6929,7047
6929,7542
481,3648
481,6585
8840,5998
8840,6832
8840,7608
8840,8211
7542,5998
7542,8211
7542,3059
3757,8874
3757,7338
3757,2136
98,1596
98,1264
98,5205
1596,3358
1596,2308
1264,3358
1264,4802
5205,3358
5205,2426
8700,153
8700,3133
8700,3481
8700,3859
8700,4388
8700,9189
8700,9190
8700,7150
5824,670
5824,2490
5824,9212
5824,2328
2328,670
2328,3381
2328,3199
761,3904
102,8417
102,6281
102,3833
8417,2071
8417,3792
8417,8270
8417,8861
8417,6202
6281,6202
103,2040
103,7330
103,598
103,8873
103,3330
2040,137
2040,2862
2040,8724
2040,5190
7330,7205
7330,8873
598,510
598,8740
8873,6361
8873,7205
8873,8740
8877,8137
8877,2473
8877,4107
2473,278
2473,7597
1602,531
