source,target
1,4500
1,2945
2,4335
2,4944
3,6373
3,7743
4,3519
4,5705
4,2999
4,5463
5,2160
5,4391
6,548
6,7261
6,8609
7,8758
8,156
8,8655
9,3793
9,8966
10,4041
10,7431
10,2663
10,3247
10,9011
11,8665
11,9028
11,6349
11,2162
11,6371
12,4333
12,315
12,8933
13,9119
13,7657
14,2838
14,4264
14,8604
14,4893
15,2541
15,5066
16,6453
16,3544
17,7271
17,3521
18,799
18,6619
18,4513
18,4987
19,8286
19,5994
19,1319
19,873
19,995
19,3687
19,1270
20,6266
20,2286
21,5041
21,438
22,6534
22,5290
22,9233
22,7175
22,607
22,1690
22,4728
22,6234
22,5830
22,7246
23,8609
23,6046
23,5893
23,7471
24,4237
24,5059
24,8157
24,4843
24,4071
24,172
25,8157
25,7293
25,4237
25,2367
25,6170
25,4077
26,576
26,6229
26,7434
26,5119
27,1724
27,919
27,4888
27,3009
27,8467
28,2471
28,3546
28,8657
28,3372
28,306
29,6534
29,571
29,3803
29,7419
29,1065
29,1202
30,4060
30,8992
30,3902
30,4311
30,7138
30,3810
31,7692
31,5648
31,1710
32,8630
32,5319
33,4338
33,935
33,1938
33,5342
33,1999
34,7623
34,8889
34,6164
35,5991
35,9233
35,5290
36,8992
36,6576
37,5941
37,2048
37,8352
37,7284
37,4945
38,3886
38,1356
39,1380
39,6847
40,4640
41,5405
41,1179
42,4688
42,4254
43,8344
43,8395
44,5313
44,2376
45,1999
45,1533
46,8445
46,4528
47,5229
47,613
48,1182
48,9090
49,6569
50,2986
50,6712
50,1498
50,6564
50,4308
51,1864
51,4424
51,5535
51,8006
52,935
52,7043
52,5396
52,3145
52,2748
53,8658
53,2895
54,1165
54,8941
55,1825
55,2331
56,4674
56,754
56,166
57,6879
57,7358
57,7920
57,5690
57,4757
57,7025
57,90
57,7354
58,467
58,7938
59,5346
59,9017
60,8037
60,553
60,5900
60,6244
60,1164
60,2062
60,4966
61,431
61,5248
62,2993
62,6986
63,9220
63,3554
63,1728
63,1193
64,7069
64,7526
65,7860
65,4146
65,6001
66,5687
66,8723
67,277
67,2446
68,5465
69,6494
69,8511
69,140
70,2983
70,2791
71,4793
71,708
72,1583
73,4862
73,576
73,4307
73,5508
74,7134
74,1548
75,5973
75,1740
75,4055
75,5833
75,265
75,2406
76,7713
76,919
76,2777
76,6509
77,5515
77,3842
78,8838
78,2133
79,5603
79,5440
79,1036
80,8694
80,4918
80,4383
80,4667
81,7591
81,5346
82,9057
82,285
83,2407
83,6058
84,3732
84,6579
85,7225
85,4941
86,3506
86,583
87,5223
87,2750
87,3133
88,2122
88,1220
89,8168
89,5298
90,7719
90,7358
90,5802
90,4757
90,4198
91,1135
91,8242
92,5330
92,2757
92,3616
92,2036
93,531
93,7022
93,9238
94,8881
94,2852
95,2393
95,1176
95,5940
96,4709
96,1810
97,7619
97,6130
97,8711
97,3450
98,1714
98,858
99,1584
99,5075
99,8891
100,6480
100,6110
100,4572
100,4476
100,6774
100,6091
100,8574
101,8384
101,4019
101,8936
101,4439
101,4943
101,4535
101,6683
102,6846
102,5430
103,2699
103,6202
103,8114
103,746
103,6477
103,4693
103,5469
104,1671
104,8531
104,8359
104,2150
105,3459
105,6356
106,3597
106,7181
106,2185
106,2510
106,1852
106,3511
106,7187
106,2059
107,8812
107,8745
107,7106
108,6265
108,1429
108,5476
109,5709
109,196
110,6038
110,1484
111,3951
111,1963
112,3894
112,2615
112,3879
113,2402
113,5171
113,7470
114,8608
114,5526
115,3134
115,1947
116,741
116,8656
116,4456
117,1417
117,8573
118,8298
118,5141
118,8450
119,167
119,5553
120,1806
120,673
121,8564
121,7523
121,1790
121,4957
121,4503
121,9260
122,7660
122,6415
123,6643
123,6439
123,4183
123,6062
123,4164
124,599
124,2306
124,2465
124,4003
125,1073
125,6140
125,4089
125,4071
126,5980
126,7805
127,1640
127,7658
128,260
129,8703
129,1583
130,8756
130,3912
131,3389
131,6251
132,1862
132,4482
132,8417
132,6016
132,7603
133,8231
133,4320
133,4390
133,5615
133,4768
133,1397
134,3801
134,4318
135,6554
135,3418
136,6823
136,4608
136,4649
136,8873
136,3637
136,4466
137,139
137,868
137,5772
137,5025
138,5749
138,3982
138,7924
138,7995
138,7371
138,7139
138,3619
138,329
138,9168
138,3355
138,9196
139,6667
139,979
139,5772
139,5643
139,8052
139,8742
140,7946
141,223
141,5189
142,4849
142,8366
142,8517
142,1639
142,704
142,1951
142,2951
142,6193
143,1004
143,4960
143,5679
144,5521
145,2375
146,4974
146,6912
147,899
147,5795
148,1968
148,2131
148,4993
148,4017
149,4321
149,7955
150,2704
150,810
150,2304
150,1433
151,3743
151,4076
151,4021
152,7248
152,6700
153,7053
153,8864
153,5627
154,8756
154,3648
155,9021
155,9149
156,6102
156,8655
156,2224
156,4586
156,8709
157,7029
157,4470
158,8077
158,2833
160,4323
160,7527
160,3367
160,7507
160,4516
160,7728
161,3653
161,5979
162,2015
162,8567
163,8807
164,4312
164,6151
165,2346
165,6927
166,6661
166,3001
166,283
167,5982
167,5555
167,1747
167,8776
167,1463
168,8544
168,953
168,3517
168,6602
169,3214
169,1789
170,9246
170,7399
171,8429
171,5320
172,2661
173,735
173,4932
174,1268
174,2074
175,5056
175,6506
176,8421
176,5492
177,7716
177,7222
177,7116
178,4405
178,7872
179,8095
179,733
179,9085
180,4857
180,2290
180,3256
180,3035
181,3482
181,6191
182,2418
182,1728
182,1511
182,3905
182,5868
182,9261
182,3201
183,7486
183,4321
183,4577
184,7409
184,3752
184,5181
185,4294
185,6449
186,6808
186,7990
186,9106
187,1657
187,7495
187,8306
187,6649
187,1107
187,535
187,6896
188,6448
188,2370
188,4555
189,6225
189,8055
190,6228
190,7433
190,1190
191,685
191,2386
192,5140
192,1629
192,934
193,8186
193,7429
193,5256
193,8652
194,4034
194,6571
195,8845
195,8641
196,7996
196,5709
197,7666
197,691
197,8626
197,8524
197,6186
197,1901
198,5705
198,750
198,2389
198,7919
199,2195
199,2797
199,5429
200,7426
200,8329
200,3040
200,6725
201,252
201,1069
202,6321
202,4899
202,9122
203,5167
203,2743
203,2056
204,3525
204,2017
204,4700
204,1231
205,5543
205,7112
206,7383
206,1505
207,5441
207,2988
208,7701
208,2278
209,1276
209,1249
210,8829
210,290
211,3415
211,7038
212,515
212,6424
212,7035
213,4891
213,7109
214,4012
214,3000
215,6877
215,8384
215,8936
216,4076
216,642
216,4021
217,5157
217,6749
218,2661
218,1950
219,3069
219,3755
220,5663
220,3168
221,1235
221,5527
221,2597
222,3474
222,569
222,5398
223,2279
223,1077
223,8046
223,4516
223,4323
223,5651
223,3103
224,1361
224,920
224,8670
224,3626
224,2531
224,1027
224,6627
224,7444
225,3067
225,8537
225,4628
226,8670
226,5695
226,8623
226,2138
226,6627
226,6426
227,3312
227,1526
227,5367
227,1218
227,8528
228,1814
228,7383
229,3099
229,8194
230,5659
230,8849
231,2134
231,8965
232,5672
232,2559
232,9240
233,496
233,1916
233,2053
233,5219
234,2126
234,3930
235,9117
235,2298
235,1459
235,2486
235,5989
236,6635
236,6662
236,8613
236,1343
237,5904
237,6051
238,8468
238,1280
238,3783
239,6399
239,3240
239,6491
239,4344
239,2989
240,5353
240,4031
241,5188
241,7348
242,1432
242,1759
243,955
243,2286
244,7782
244,1204
245,4100
245,3843
245,6207
245,3359
245,4681
245,4503
246,7912
246,7978
247,6978
247,939
248,6488
248,8885
249,3813
249,5898
249,6055
250,9035
250,3636
251,8806
251,1454
252,1042
252,1568
252,271
253,7138
253,6806
253,5005
254,7522
254,258
255,6365
255,7913
255,7784
255,297
255,2525
256,6920
256,8516
257,6726
257,6085
258,6584
258,5204
258,6041
258,3011
258,7200
258,1214
258,5527
259,1229
259,1792
260,5279
261,1666
261,284
262,6768
262,4309
263,6613
263,8763
263,2233
264,5922
264,7785
264,8057
265,5833
265,5632
265,1802
265,7001
266,7074
266,393
267,1693
267,8332
267,7231
267,8102
267,7595
268,7795
269,3768
269,8173
270,7260
270,8376
271,8766
271,1042
271,739
271,7360
271,4376
271,8905
271,7367
272,2491
273,7498
273,4404
274,6401
274,2946
275,386
275,6240
276,496
276,6254
276,3722
276,9228
276,918
276,3301
277,2446
278,5836
278,5311
278,8067
278,738
279,8723
279,1918
280,1677
280,9077
281,4740
281,4811
282,350
282,7039
282,6829
283,3001
283,8504
283,5633
283,754
284,8984
285,2998
286,4610
286,3901
287,2716
287,3046
287,2177
287,905
288,6029
289,7640
289,6937
289,3355
290,2696
291,7364
291,4201
292,2364
292,8903
293,813
293,6790
293,9074
294,3097
294,9180
295,771
295,5794
295,8547
296,722
296,1696
297,6026
297,2314
297,8652
298,8661
298,9196
298,1892
298,1191
298,8484
299,3514
299,8215
300,1059
300,4066
301,4477
301,6965
302,6862
302,8503
303,6938
303,7605
303,4895
303,353
304,8126
304,7412
304,7923
305,6638
305,3635
306,8657
307,5350
307,4250
308,5920
308,7787
308,486
309,6636
309,4530
310,541
310,7878
310,2315
311,8972
311,6573
311,821
311,4896
311,5607
311,7192
312,758
312,1534
313,7442
313,6059
313,6412
313,8625
313,3694
314,6498
314,2587
315,5045
315,8313
316,3015
316,1248
317,3269
317,7670
317,8209
318,5334
318,759
319,8096
319,8813
320,4903
320,1300
321,4233
321,388
322,4737
322,5815
322,4116
323,8299
323,1616
324,9201
324,5331
324,1197
325,5136
325,3778
326,9254
326,2092
327,1717
327,6353
327,7843
328,4016
328,5944
328,4664
328,4800
329,6937
329,9196
329,5862
329,4980
330,5169
330,1920
331,918
331,2152
331,6254
331,3332
331,3676
332,7288
332,8734
333,1411
333,5018
333,4514
333,5624
333,2857
334,3348
334,7541
334,3390
335,7310
336,6134
336,6835
337,6307
337,8327
337,2312
338,6925
338,641
338,2592
338,4152
339,3488
339,8086
339,8848
339,4434
339,7918
339,8739
339,6479
339,3638
340,7084
340,1864
340,7469
340,6636
340,8680
341,3086
341,4640
342,692
342,7124
342,4111
342,3026
343,7508
343,9029
344,5510
344,2082
345,4559
345,3608
345,2762
346,8175
346,3078
346,7204
347,3239
347,432
348,6221
348,5805
348,6361
349,4529
349,3529
350,6829
350,5597
350,7865
350,2698
350,2814
350,8256
351,951
351,3556
351,3962
351,8963
351,7363
352,6356
352,1470
353,1375
354,7772
354,1630
355,1950
355,6808
355,1226
355,4077
355,1073
356,1017
356,7226
357,1399
358,5175
358,6873
358,3669
359,3005
359,6303
359,6687
360,3884
360,6620
361,6707
361,6198
362,6382
362,6089
362,4579
362,5472
363,777
363,8886
364,1730
364,1535
365,9074
365,7999
365,8129
366,1225
366,7847
367,1797
367,7102
368,5098
368,8900
368,7918
369,788
369,2682
370,2740
370,4916
370,4696
370,9176
371,3980
372,1372
372,3029
372,3210
373,664
373,897
374,7961
374,653
375,2619
375,5717
375,4158
375,4408
375,7868
375,403
375,6020
375,5992
375,4201
375,8017
376,708
376,1358
377,3679
378,2209
378,4749
378,3984
379,4560
379,5150
380,5733
380,558
380,1443
380,2735
380,1800
381,6035
381,5599
381,1586
381,4621
381,5621
381,611
382,1198
382,5559
383,5274
383,2188
383,2479
384,6659
384,6656
384,4450
384,4772
385,3284
385,7256
387,2123
387,6742
387,2960
387,776
387,2276
387,2806
388,4805
389,1555
389,4431
390,8232
390,2120
390,1105
390,6991
391,1090
391,9052
391,3502
391,3526
391,2500
392,2058
392,6226
393,2284
394,8856
394,3153
395,9034
395,7131
396,6762
396,547
397,2407
397,5014
397,4704
398,4482
399,6640
399,1912
399,5261
400,7355
400,5784
400,4127
400,4164
401,2736
401,8737
402,7696
402,7535
402,4386
403,6650
403,8017
403,3200
404,5176
404,5065
405,834
405,7135
406,2034
406,7715
407,1877
407,4428
407,8223
408,3711
408,7223
409,2833
409,6990
410,3144
410,6860
411,1711
411,6374
412,5653
412,2491
413,4420
413,2140
413,6974
413,1829
414,6473
414,6360
415,7748
416,3426
416,3601
417,5620
417,1773
417,8500
418,7751
418,8143
418,5426
418,6092
418,7685
419,6362
419,3815
419,1085
419,1840
419,3091
420,1534
420,431
421,1326
421,4687
422,8829
422,7860
423,6157
423,3080
424,6149
424,5404
425,842
425,877
426,3223
426,7336
427,6046
427,5277
427,3341
427,8443
427,7648
428,3372
428,2708
428,6465
428,8972
428,6069
429,4462
429,7464
429,1060
429,5028
429,4235
429,6077
430,6671
430,8154
432,1677
433,1995
433,3772
434,8247
434,9108
434,3720
435,1444
435,7427
435,1818
436,5871
436,5568
437,696
437,5271
438,9112
438,4850
438,8508
438,4657
438,7778
439,4962
439,7499
439,3050
439,1630
439,3703
440,1371
440,2587
440,3500
441,7032
441,2325
442,5241
442,904
442,4251
442,649
442,3681
443,1873
443,5547
444,6181
444,6606
445,717
445,7487
446,541
446,9275
447,4392
447,5509
447,7111
447,954
447,8803
447,8315
447,3246
447,4833
447,2193
447,7374
447,3567
448,1273
448,1563
448,3285
449,1669
449,7439
450,6155
450,4958
451,1955
451,3531
451,7502
451,2478
452,5018
452,4248
452,8672
453,1464
453,4862
453,7234
453,6434
453,795
454,8322
454,534
455,4487
455,2849
456,7831
456,2398
456,9267
456,4029
457,3049
457,7333
457,3063
457,7372
458,4156
458,6616
459,2974
459,1640
460,3206
460,8477
460,1294
460,5856
460,7325
460,6853
461,1621
461,4407
462,970
462,6113
462,1929
463,5333
463,5751
464,4092
464,2367
464,7213
464,4475
464,3425
464,4237
464,8157
465,4091
465,5817
465,7956
466,2539
466,3510
467,660
468,8603
468,8916
468,508
469,6223
469,6909
470,5199
470,3697
470,4421
470,4160
471,6850
471,1219
471,3622
472,5624
472,3270
472,4061
473,7377
473,7934
474,7372
474,6629
475,4497
475,2021
475,8905
476,7436
476,2168
477,2399
477,6213
477,4167
478,5706
478,1191
479,1754
479,4572
479,6483
479,6110
480,5091
480,3378
481,2535
481,1850
482,1762
482,7816
482,9257
482,4878
482,2160
483,3791
483,2502
483,997
484,2420
484,2560
484,5688
484,8945
484,5253
484,2801
484,9224
485,1448
485,4565
485,8193
486,1301
