source,target
1,331
1,880
1,1513
1,3560
2,7929
2,8237
3,4475
3,7941
4,2224
4,1985
5,154
6,2811
6,1235
7,4834
7,2611
7,7743
8,5904
8,7899
8,2627
8,8219
9,5059
9,7640
10,8312
10,8496
10,5877
11,2944
11,3463
11,3671
11,8587
11,7335
11,280
11,2115
11,177
11,4301
12,6099
12,1699
12,5938
13,6202
13,2058
13,6544
13,7008
13,4747
13,2240
13,757
13,1178
14,7003
14,1229
15,8985
15,4416
15,545
15,8047
16,6144
16,8714
17,6973
17,6768
18,2090
18,8958
19,5280
19,7120
20,580
20,1812
20,5725
20,5646
21,5850
21,2028
21,8818
21,6399
21,1724
21,8911
22,321
22,1585
23,1397
23,8741
23,1337
24,304
24,4974
24,3709
25,6743
25,2273
25,8848
25,635
26,7426
26,548
26,8795
26,9228
27,4626
27,945
27,4246
28,4568
28,7179
28,2435
29,1852
29,4123
30,5404
30,7259
30,1011
31,6534
31,8271
31,3681
31,183
31,3263
32,3163
32,1385
32,8031
33,1780
33,6173
34,5763
34,5096
35,4542
35,4962
36,6566
36,167
37,7084
37,1256
37,6000
38,4848
38,1090
39,3631
39,7495
40,3461
40,196
40,4681
40,289
41,768
41,683
41,542
41,650
41,8519
42,5052
42,1234
43,6415
43,3212
44,7851
44,9016
45,4768
45,7904
46,501
46,7982
47,7178
47,6261
48,5824
48,8430
48,6629
49,3195
49,5930
49,7846
50,3597
50,4651
51,3365
51,8117
52,6309
53,3920
53,760
54,527
54,1872
55,4002
55,8557
55,7085
55,1827
56,1106
56,188
56,7674
56,280
56,822
56,7752
57,6740
57,5120
57,7016
57,1888
58,3852
58,5161
58,4675
58,8983
58,3581
58,1459
58,4965
59,8692
59,6442
60,9055
60,4764
61,4054
61,4823
62,5913
62,4923
63,8156
63,2832
63,3969
63,9198
64,2686
64,6228
65,8638
65,566
66,6995
66,8821
67,7142
67,6019
67,2284
67,1971
67,7461
67,7618
68,4691
68,8218
69,3349
69,1341
69,5350
69,1148
69,3433
70,3930
71,8118
71,382
71,4897
72,139
72,5334
72,3207
72,235
73,7700
73,7592
74,9111
74,5652
75,1883
75,536
76,7655
76,3245
76,5690
76,4515
76,8221
77,2456
77,90
77,1655
78,8357
78,7880
78,2565
78,6012
78,6958
79,2177
79,4879
79,4937
80,1176
80,3458
81,5359
81,3396
81,8251
81,967
81,2813
81,9009
81,8138
81,1839
82,6263
82,4369
83,896
83,3527
84,7390
84,1112
84,1839
84,5103
84,955
84,3606
84,8031
84,5049
84,2163
84,5821
84,1816
85,7175
85,8787
85,3929
85,1314
86,9249
86,8714
87,2839
87,3240
88,6039
88,4683
89,3136
89,2947
90,1655
91,4594
91,5120
91,4461
91,1895
92,8939
92,7825
93,6903
93,4968
94,6121
94,2112
94,5141
94,6919
95,2586
95,508
96,1729
96,986
97,1382
97,6143
97,7983
98,7671
98,6170
99,709
99,8188
100,9247
100,6117
100,8158
101,1501
101,7888
102,1424
102,7633
103,8217
103,2337
103,6008
104,7488
104,6599
105,4886
105,9094
106,3945
106,6261
107,996
107,9197
108,8500
108,5865
109,4742
109,6066
109,603
109,7756
110,4297
110,8166
110,3005
110,4903
110,4135
111,2483
111,9278
111,1511
111,6324
112,4561
112,2271
113,445
114,1930
114,2653
115,5861
115,1155
116,4925
116,1206
116,7906
116,6933
117,2817
117,3623
117,3116
117,2419
118,5589
118,3532
119,8916
119,3331
120,3826
120,3781
121,9118
121,7880
122,757
123,1217
123,5849
124,4401
124,4109
124,3844
124,3411
125,3020
125,5495
126,8154
126,7480
127,8692
127,6233
127,2261
127,7666
127,5616
128,3223
128,2584
129,1844
129,2695
129,1846
129,7335
129,498
130,3500
130,5165
131,4583
131,2275
131,8170
131,1266
131,2309
131,1757
132,7532
132,3789
132,4612
132,5696
133,7244
133,7202
134,6115
134,1864
134,1454
135,255
135,7399
136,4129
136,1308
136,3088
136,4213
137,7984
137,893
138,7704
138,2484
138,3722
139,770
139,216
139,3561
139,3839
139,8281
140,4888
140,4643
140,2142
141,4611
141,499
142,8327
142,640
143,917
143,5154
144,2898
144,6806
144,1600
144,2443
144,8656
145,5925
145,577
146,2016
146,6716
147,4459
147,2741
147,4629
147,9058
148,5203
148,3434
149,4887
149,6094
149,1476
150,4355
150,3036
151,7234
151,775
151,1383
151,2197
151,6577
152,3608
152,1371
153,9057
153,2363
154,6965
155,712
155,8518
155,2692
155,884
156,690
156,6848
157,3040
157,5684
158,3995
158,1393
159,8592
159,6640
159,3797
160,3476
160,1319
161,4184
161,2817
162,5402
162,3923
163,8477
163,555
163,6570
164,8540
164,4177
165,1624
165,5663
165,6926
166,5628
166,3935
167,2607
167,2268
168,6842
168,8672
168,3422
168,8290
169,3913
169,3244
170,257
170,1490
170,809
170,662
170,7643
171,6963
171,1023
171,1102
171,2730
171,1712
172,6310
172,1221
172,3713
173,2674
173,1160
173,1565
174,8881
174,7585
174,7907
175,7853
175,1609
176,2763
176,4829
176,5848
176,5639
176,3888
177,3463
177,3711
177,8528
177,4301
177,3729
177,5030
177,3656
177,9270
177,2944
177,7849
177,3671
177,280
177,7335
177,7509
177,2115
177,4772
178,8837
178,9127
179,2603
179,1641
180,5318
180,6105
181,8005
181,6599
181,8904
182,8047
182,6396
183,8271
183,3517
183,2813
183,3681
183,2241
183,8457
183,5829
184,7927
184,8583
184,6502
184,3487
184,7736
185,7874
185,7932
186,9195
187,7046
187,7438
188,280
188,3407
188,8834
188,238
188,1106
188,2396
188,8749
188,1505
188,6004
188,6440
188,5282
188,7752
188,822
189,8465
189,3978
190,2290
190,7072
191,4789
191,4615
191,9251
191,4925
191,420
191,5494
191,1077
191,6933
192,4586
192,1965
193,3450
193,2089
193,4206
194,409
194,3948
195,6776
195,1115
196,3883
197,5566
197,2953
198,3130
198,8547
199,1930
199,775
200,3769
200,6012
201,673
201,5631
201,1778
202,3530
202,8245
203,7598
203,7365
203,7669
204,8437
204,584
205,9027
205,9212
205,221
206,2976
206,1347
207,5188
207,2172
208,7264
209,1235
209,2536
209,6038
210,7491
210,3520
210,7216
210,5081
211,3803
211,7068
211,5051
211,845
212,7612
213,5654
213,5371
213,1402
213,9271
213,5697
213,4025
214,5046
214,3187
214,880
214,3251
214,7230
215,2113
215,3639
215,6947
215,1809
215,2253
215,8856
215,3329
215,9195
215,2030
215,7539
216,2945
216,1811
216,6481
216,4904
217,7306
217,8232
218,5524
218,2899
219,2361
219,5344
219,376
