source,target
1,8602
1,6881
1,6493
1,6173
1,5684
1,2553
1,4186
1,898
1,8333
1,2482
1,5777
1,1427
1,3479
1,9274
1,1366
1,7869
1,4198
1,6727
1,7282
1,8957
2,2176
2,163
3,5601
3,6812
3,5179
3,6460
4,4550
4,6581
5,6383
5,128
6,6107
6,3466
7,460
7,2490
8,5502
8,5813
9,716
9,3089
10,6597
10,6025
11,7465
11,767
12,5870
12,2558
13,6406
13,7943
13,2414
13,8409
13,7529
13,1263
14,1494
14,6827
15,7153
15,3010
15,4056
15,7161
15,6231
16,2254
16,8760
17,1589
17,1961
18,1072
18,3759
19,5767
19,19
20,2840
20,7476
20,7248
21,7983
21,2545
22,8274
22,514
23,6451
23,23
24,5298
24,5917
25,4067
26,3936
26,7970
27,5236
27,3279
28,4073
28,5475
29,8022
29,3332
29,6567
30,8481
30,5048
30,3249
30,3191
30,5936
30,5840
30,1637
31,5354
31,4695
32,2202
32,7139
32,7958
32,4213
32,2672
32,5349
33,8068
33,904
33,5472
33,847
33,1317
33,4416
33,109
33,7131
33,33
33,6838
33,3663
33,6536
34,1414
34,34
34,4043
34,7794
34,2752
35,2303
35,5026
36,4223
36,8569
36,3042
37,531
37,124
38,9268
38,4585
38,6698
39,5544
39,5730
40,3505
40,6593
40,5035
40,4925
41,1095
41,8962
42,1525
42,9141
43,5642
43,2012
44,2176
45,458
45,489
46,3789
46,1752
47,5427
47,8283
47,4417
48,6329
48,8590
49,4376
49,5413
50,5680
50,1595
50,2378
50,368
51,3230
51,5573
51,1077
51,3233
51,2345
52,9248
52,3171
53,4453
53,265
53,5624
53,69
53,3372
53,58
54,684
54,4886
55,9042
55,7004
56,6401
56,7993
57,5483
57,1702
58,3372
58,8324
58,265
58,6739
58,3867
58,5732
58,5624
58,7509
58,8013
58,6760
59,505
59,1481
59,6931
60,2373
60,4712
61,87
61,7564
61,2055
61,5092
61,9239
61,6552
62,1824
62,7402
63,7680
63,3828
64,3222
64,8088
64,516
65,1446
65,2367
65,5898
65,8898
66,1696
66,3707
67,9245
67,2730
68,450
68,7609
69,8635
69,4453
69,7396
70,4934
70,8727
71,6793
71,1485
72,2093
72,6664
72,4202
72,4016
73,6374
73,4254
73,7438
73,4904
73,8772
73,7917
74,1470
74,7763
74,8625
75,2612
75,3832
75,6673
76,3878
76,6564
76,8336
76,2472
76,4326
76,9092
76,5160
76,5586
77,4530
77,7942
77,2370
77,304
77,1503
78,614
78,2880
78,2041
78,6177
78,4654
79,5422
79,5997
80,484
80,2541
80,2322
80,3857
80,1896
81,3826
81,4279
81,3785
81,2547
82,3764
82,8946
82,5951
83,3040
83,3956
83,2726
83,4042
85,2460
85,7918
85,7301
85,6601
86,6333
86,1767
86,7670
87,5092
88,708
88,2945
89,6602
89,6916
89,6100
89,2218
89,1609
89,3130
89,684
90,7657
90,6685
91,4628
91,910
92,7893
92,3151
92,2821
92,942
92,3624
93,6111
93,1718
94,5061
94,2174
95,928
95,8681
95,712
95,1676
95,1932
96,6615
96,1445
97,404
97,5450
98,3381
98,7018
99,9203
100,8947
100,6909
100,5513
101,642
101,7763
101,1248
102,7460
102,9282
102,4762
103,7855
104,3320
104,7423
104,9152
104,7774
104,1126
105,4297
105,1060
105,6415
106,1399
106,6709
107,9071
107,6950
107,3213
108,5423
108,4875
109,6838
109,7245
110,8168
110,5626
110,8229
110,8495
111,7591
111,1145
111,7082
112,3062
112,5470
112,5405
113,7931
113,7649
114,8530
114,4603
114,6611
115,2810
115,115
115,351
115,3911
115,2504
115,4994
115,2480
116,2603
116,5679
117,8499
117,117
117,2211
118,7184
118,1447
119,1349
119,3294
120,3582
120,1539
120,6458
120,995
121,6669
121,6654
121,6350
121,3028
121,1233
121,3842
122,7224
123,7594
123,1577
123,7848
123,2779
124,4334
125,1078
125,9018
126,2107
126,1802
127,1128
127,6312
127,5615
128,2197
129,264
129,223
129,7059
129,7332
130,8140
130,6169
130,174
131,6252
131,1116
131,6592
131,973
132,5628
132,132
133,6177
133,9247
134,2335
134,4825
135,1638
135,3754
135,4754
136,9195
136,2126
137,5957
137,8200
137,1282
138,515
138,7192
139,5079
139,6069
140,7909
140,3282
141,602
141,1700
141,246
142,8952
142,3877
143,532
143,518
144,1761
144,1247
145,1420
145,5341
145,7375
146,4437
146,461
147,5475
147,5469
148,6924
148,1467
149,781
149,4909
150,7048
150,8273
150,5266
151,1645
151,4074
151,6505
151,5987
151,6679
152,5327
152,6041
152,9164
152,152
153,1893
153,1348
153,723
154,4032
154,8365
154,1068
154,8786
154,5034
154,8536
154,3099
154,3775
154,853
154,4916
154,1041
154,154
155,4040
155,1525
156,3731
156,7593
157,2356
157,1386
157,1374
157,1979
158,4463
158,6008
159,8798
159,4961
159,7068
160,6460
160,5179
161,1388
161,6364
161,8035
161,2904
161,4461
162,7487
162,2413
163,616
164,8006
164,8020
164,1799
164,4337
164,6313
165,7502
165,8965
165,7652
166,7331
166,6176
167,5838
167,6742
167,5751
168,5600
168,4317
169,6287
169,4191
170,9117
170,7496
170,4598
171,6222
171,733
171,5428
172,5143
172,3363
173,4079
173,6934
174,256
175,8437
175,7065
176,689
176,7723
176,1354
177,6418
177,2583
178,7148
178,861
179,7218
179,7300
180,4456
180,2300
181,3831
181,5001
181,7544
181,1218
182,4884
182,1870
182,8105
183,7247
183,8288
184,987
184,3983
185,4342
185,249
185,5212
186,4256
186,537
186,598
186,7424
186,7364
187,6095
187,2211
188,5478
188,9187
189,7057
189,8796
190,1431
190,4746
191,6934
191,741
191,2474
191,8011
192,489
192,8591
193,8248
193,7382
193,797
193,5126
194,1707
194,5665
194,9276
194,5312
194,5410
195,2993
195,8002
195,6583
196,3103
196,4901
196,5356
197,1596
197,4319
198,2141
198,2015
198,714
198,4200
199,7538
199,2570
200,2897
200,200
200,8700
200,7961
201,6236
201,3438
201,4670
202,4986
203,6248
203,2163
204,7633
204,4690
204,5576
205,8556
205,1093
206,7051
206,1495
206,3694
207,3746
207,5937
207,6945
207,2981
208,2481
208,3432
209,8053
209,8540
210,1983
210,5965
210,7934
210,893
210,3034
211,4902
212,9099
212,1221
213,3660
213,3895
213,3296
213,6519
214,1103
214,6106
215,2169
215,4359
215,7971
216,2211
216,360
216,6325
216,8753
216,1952
217,4936
217,6797
217,6274
217,891
217,4791
217,2273
218,5753
218,2325
219,4187
219,4684
220,8569
220,7765
220,8981
220,8057
221,6165
221,1012
222,4235
222,2886
222,7047
223,4776
224,2124
224,3826
224,3772
224,3543
225,8615
225,8827
225,2565
