Source,Target,Type
1,2,Directed
1,69,Directed
1,125,Directed
1,149,Directed
1,156,Directed
1,166,Directed
1,193,Directed
1,455,Directed
1,506,Directed
1,527,Directed
2,1,Directed
2,4,Directed
2,167,Directed
2,192,Directed
2,194,Directed
2,368,Directed
2,458,Directed
2,526,Directed
2,527,Directed
2,771,Directed
3,4,Directed
3,323,Directed
3,325,Directed
4,3,Directed
4,34,Directed
4,194,Directed
4,360,Directed
4,432,Directed
4,452,Directed
4,458,Directed
4,527,Directed
5,6,Directed
5,82,Directed
5,162,Directed
5,182,Directed
5,228,Directed
5,562,Directed
5,657,Directed
6,5,Directed
6,60,Directed
6,227,Directed
7,8,Directed
7,247,Directed
7,336,Directed
7,457,Directed
8,6,Directed
8,7,Directed
8,156,Directed
9,10,Directed
9,11,Directed
9,12,Directed
9,18,Directed
9,25,Directed
9,46,Directed
9,78,Directed
9,204,Directed
9,474,Directed
10,9,Directed
10,26,Directed
10,47,Directed
10,86,Directed
10,90,Directed
11,171,Directed
12,153,Directed
13,14,Directed
13,18,Directed
13,23,Directed
13,29,Directed
13,108,Directed
13,506,Directed
14,13,Directed
14,32,Directed
14,225,Directed
14,723,Directed
15,19,Directed
15,26,Directed
15,30,Directed
15,84,Directed
15,145,Directed
15,475,Directed
16,17,Directed
16,25,Directed
16,85,Directed
17,16,Directed
17,84,Directed
17,86,Directed
17,161,Directed
17,263,Directed
18,11,Directed
18,13,Directed
18,16,Directed
18,19,Directed
18,20,Directed
18,25,Directed
18,108,Directed
18,506,Directed
18,533,Directed
18,566,Directed
19,15,Directed
19,17,Directed
19,18,Directed
19,78,Directed
19,86,Directed
19,145,Directed
20,21,Directed
20,23,Directed
20,556,Directed
20,566,Directed
20,611,Directed
21,20,Directed
22,17,Directed
22,145,Directed
22,286,Directed
22,298,Directed
23,18,Directed
23,20,Directed
23,24,Directed
23,108,Directed
23,557,Directed
23,566,Directed
24,23,Directed
25,9,Directed
25,16,Directed
25,18,Directed
25,26,Directed
25,29,Directed
25,85,Directed
25,184,Directed
25,500,Directed
25,661,Directed
25,724,Directed
25,729,Directed
26,10,Directed
26,25,Directed
26,86,Directed
26,723,Directed
26,728,Directed
27,28,Directed
27,199,Directed
28,27,Directed
28,33,Directed
28,74,Directed
28,240,Directed
29,13,Directed
29,18,Directed
29,25,Directed
29,30,Directed
29,534,Directed
30,15,Directed
30,29,Directed
30,35,Directed
30,36,Directed
31,71,Directed
31,643,Directed
31,658,Directed
31,790,Directed
32,29,Directed
32,31,Directed
32,185,Directed
32,733,Directed
32,790,Directed
32,972,Directed
33,34,Directed
33,35,Directed
33,37,Directed
33,53,Directed
33,55,Directed
33,75,Directed
33,86,Directed
33,106,Directed
33,109,Directed
33,178,Directed
33,199,Directed
33,201,Directed
33,506,Directed
33,651,Directed
33,654,Directed
33,657,Directed
33,887,Directed
34,33,Directed
34,38,Directed
34,54,Directed
34,107,Directed
34,165,Directed
34,200,Directed
34,202,Directed
34,655,Directed
34,658,Directed
35,33,Directed
35,36,Directed
35,37,Directed
35,42,Directed
35,201,Directed
35,217,Directed
35,310,Directed
35,656,Directed
35,657,Directed
35,663,Directed
35,892,Directed
36,34,Directed
36,35,Directed
36,38,Directed
36,202,Directed
36,658,Directed
36,666,Directed
36,893,Directed
37,38,Directed
37,39,Directed
37,76,Directed
37,201,Directed
37,312,Directed
38,37,Directed
38,40,Directed
38,179,Directed
38,202,Directed
38,208,Directed
38,313,Directed
38,674,Directed
39,37,Directed
39,40,Directed
39,46,Directed
39,91,Directed
39,235,Directed
39,307,Directed
40,38,Directed
40,39,Directed
40,208,Directed
40,806,Directed
41,39,Directed
41,42,Directed
41,68,Directed
41,91,Directed
42,41,Directed
42,656,Directed
42,660,Directed
42,668,Directed
42,799,Directed
44,45,Directed
44,46,Directed
44,51,Directed
44,62,Directed
44,64,Directed
44,226,Directed
44,235,Directed
44,449,Directed
45,44,Directed
45,47,Directed
45,667,Directed
46,39,Directed
46,47,Directed
46,48,Directed
46,49,Directed
46,51,Directed
46,75,Directed
46,766,Directed
46,921,Directed
47,46,Directed
47,52,Directed
47,73,Directed
47,76,Directed
47,233,Directed
47,260,Directed
47,337,Directed
47,765,Directed
47,803,Directed
48,46,Directed
48,212,Directed
48,221,Directed
48,222,Directed
48,767,Directed
49,46,Directed
49,50,Directed
49,328,Directed
49,359,Directed
50,47,Directed
50,49,Directed
50,51,Directed
50,328,Directed
51,44,Directed
51,46,Directed
51,52,Directed
52,47,Directed
52,51,Directed
52,76,Directed
52,320,Directed
52,668,Directed
53,54,Directed
53,55,Directed
53,75,Directed
53,90,Directed
53,657,Directed
54,34,Directed
54,47,Directed
54,53,Directed
54,59,Directed
54,78,Directed
54,188,Directed
54,211,Directed
54,803,Directed
55,53,Directed
55,56,Directed
55,654,Directed
55,656,Directed
55,665,Directed
55,744,Directed
56,55,Directed
56,73,Directed
56,205,Directed
56,311,Directed
56,470,Directed
56,655,Directed
56,666,Directed
56,689,Directed
56,744,Directed
56,745,Directed
57,51,Directed
57,58,Directed
57,59,Directed
57,79,Directed
58,47,Directed
58,57,Directed
58,470,Directed
58,910,Directed
59,54,Directed
59,60,Directed
59,795,Directed
60,6,Directed
60,58,Directed
60,59,Directed
60,227,Directed
61,62,Directed
61,63,Directed
61,64,Directed
61,72,Directed
61,74,Directed
61,143,Directed
62,26,Directed
62,44,Directed
62,61,Directed
62,63,Directed
62,64,Directed
62,86,Directed
62,178,Directed
62,225,Directed
62,226,Directed
62,248,Directed
62,255,Directed
62,322,Directed
62,356,Directed
63,64,Directed
63,563,Directed
63,608,Directed
63,641,Directed
63,688,Directed
64,44,Directed
64,62,Directed
64,63,Directed
64,225,Directed
64,265,Directed
65,35,Directed
65,66,Directed
65,67,Directed
65,121,Directed
65,180,Directed
65,241,Directed
65,287,Directed
65,657,Directed
66,36,Directed
66,65,Directed
66,72,Directed
66,122,Directed
66,242,Directed
66,288,Directed
67,68,Directed
67,121,Directed
67,523,Directed
67,524,Directed
67,688,Directed
68,67,Directed
69,67,Directed
69,70,Directed
69,129,Directed
69,130,Directed
69,158,Directed
69,238,Directed
69,241,Directed
69,300,Directed
69,688,Directed
69,691,Directed
70,69,Directed
70,147,Directed
70,238,Directed
70,242,Directed
70,368,Directed
70,744,Directed
71,31,Directed
71,229,Directed
71,235,Directed
71,643,Directed
72,73,Directed
73,47,Directed
73,72,Directed
73,143,Directed
73,144,Directed
73,205,Directed
73,235,Directed
74,28,Directed
75,33,Directed
75,76,Directed
75,106,Directed
75,297,Directed
75,651,Directed
75,711,Directed
75,727,Directed
75,741,Directed
75,909,Directed
76,47,Directed
76,75,Directed
76,81,Directed
76,298,Directed
76,803,Directed
77,229,Directed
77,297,Directed
77,651,Directed
78,18,Directed
79,57,Directed
79,78,Directed
79,80,Directed
79,236,Directed
80,58,Directed
80,79,Directed
81,31,Directed
81,76,Directed
81,82,Directed
81,627,Directed
82,81,Directed
