Source,Target,Type
0,1838,Directed
0,1744,Directed
0,14,Directed
0,2543,Directed
1,1009,Directed
1,1171,Directed
1,1465,Directed
1,2069,Directed
1,2080,Directed
1,1856,Directed
1,3799,Directed
1,1033,Directed
1,2717,Directed
1,300,Directed
1,1603,Directed
1,942,Directed
1,3678,Directed
1,952,Directed
1,815,Directed
2,3656,Directed
2,3459,Directed
2,1157,Directed
2,1993,Directed
3,386,Directed
3,2659,Directed
3,2160,Directed
3,1925,Directed
3,3511,Directed
3,372,Directed
3,1506,Directed
3,2303,Directed
3,1634,Directed
3,1706,Directed
3,3038,Directed
3,749,Directed
3,2790,Directed
3,452,Directed
3,1936,Directed
3,2915,Directed
3,2972,Directed
3,1100,Directed
3,2918,Directed
3,3026,Directed
3,2406,Directed
3,1673,Directed
3,11,Directed
3,3156,Directed
3,2250,Directed
3,2350,Directed
3,1050,Directed
3,1060,Directed
3,1457,Directed
3,3054,Directed
3,72,Directed
3,1553,Directed
3,1114,Directed
3,3525,Directed
3,2064,Directed
3,3791,Directed
3,1595,Directed
3,1177,Directed
3,1596,Directed
3,2935,Directed
3,545,Directed
3,1840,Directed
3,423,Directed
3,1788,Directed
3,2890,Directed
3,603,Directed
3,1498,Directed
3,703,Directed
3,1073,Directed
3,1422,Directed
3,3283,Directed
3,2590,Directed
3,3431,Directed
3,354,Directed
3,1720,Directed
3,3291,Directed
3,2773,Directed
3,2804,Directed
3,2476,Directed
3,2036,Directed
3,46,Directed
3,1986,Directed
3,2588,Directed
3,3507,Directed
3,566,Directed
4,667,Directed
4,1931,Directed
5,275,Directed
5,1874,Directed
5,3832,Directed
5,2847,Directed
5,1929,Directed
5,3237,Directed
5,1209,Directed
5,578,Directed
5,3852,Directed
5,1452,Directed
5,2361,Directed
5,590,Directed
5,2005,Directed
5,77,Directed
5,3409,Directed
5,2816,Directed
5,80,Directed
5,2454,Directed
5,1119,Directed
5,771,Directed
5,3204,Directed
5,2201,Directed
5,2764,Directed
5,1609,Directed
5,315,Directed
5,3550,Directed
5,1193,Directed
5,2344,Directed
5,1370,Directed
5,2593,Directed
5,2472,Directed
5,3221,Directed
5,3062,Directed
5,3747,Directed
5,3082,Directed
5,2713,Directed
5,911,Directed
6,556,Directed
6,2524,Directed
6,3839,Directed
6,2355,Directed
7,2170,Directed
7,495,Directed
3189,2109,Directed
3189,1920,Directed
3189,1961,Directed
3189,3651,Directed
3189,2179,Directed
3189,3339,Directed
3189,938,Directed
3189,48,Directed
3189,2549,Directed
3189,3122,Directed
3189,2984,Directed
3189,3870,Directed
3189,908,Directed
3189,2449,Directed
3189,3143,Directed
3189,965,Directed
3189,229,Directed
3189,1729,Directed
3189,3519,Directed
9,2848,Directed
9,444,Directed
9,2424,Directed
9,920,Directed
9,393,Directed
9,3316,Directed
9,455,Directed
9,130,Directed
9,2731,Directed
9,3536,Directed
9,3392,Directed
9,2126,Directed
9,2055,Directed
9,3135,Directed
9,450,Directed
9,245,Directed
9,2584,Directed
9,1190,Directed
9,1530,Directed
9,1617,Directed
9,1678,Directed
9,3238,Directed
9,3096,Directed
75,111,Directed
75,2801,Directed
75,187,Directed
75,3397,Directed
75,1268,Directed
75,516,Directed
75,2860,Directed
75,1864,Directed
11,386,Directed
11,2659,Directed
11,2160,Directed
11,1925,Directed
11,3511,Directed
11,372,Directed
11,1506,Directed
11,2915,Directed
11,2303,Directed
11,3376,Directed
11,1634,Directed
11,1706,Directed
11,749,Directed
11,2790,Directed
11,452,Directed
11,1936,Directed
11,2672,Directed
11,2972,Directed
11,1100,Directed
11,2918,Directed
11,3026,Directed
11,2406,Directed
11,1673,Directed
11,1553,Directed
11,2250,Directed
11,2350,Directed
11,1050,Directed
11,3662,Directed
11,1060,Directed
11,1788,Directed
11,1457,Directed
11,3054,Directed
11,72,Directed
11,1114,Directed
11,3476,Directed
11,76,Directed
11,3525,Directed
11,2064,Directed
11,3791,Directed
11,1595,Directed
11,1177,Directed
11,1596,Directed
11,2935,Directed
11,545,Directed
11,1840,Directed
11,423,Directed
11,1986,Directed
11,2890,Directed
11,603,Directed
11,1498,Directed
11,703,Directed
11,1073,Directed
11,1422,Directed
11,3283,Directed
11,2590,Directed
11,3431,Directed
11,354,Directed
11,1720,Directed
11,3291,Directed
11,3156,Directed
11,2804,Directed
11,2476,Directed
11,2036,Directed
11,46,Directed
11,3701,Directed
11,2588,Directed
11,3507,Directed
11,566,Directed
11,2773,Directed
12,3336,Directed
12,26,Directed
1865,1184,Directed
1865,2661,Directed
1865,1961,Directed
1865,2724,Directed
1865,3235,Directed
1865,1696,Directed
1865,342,Directed
1865,264,Directed
1865,126,Directed
1865,3519,Directed
1865,2571,Directed
1865,1980,Directed
1865,2241,Directed
1865,2373,Directed
1865,3394,Directed
1865,460,Directed
1865,3659,Directed
1865,1399,Directed
1865,229,Directed
1865,3122,Directed
1865,2024,Directed
1865,1998,Directed
1865,1775,Directed
1865,2821,Directed
1865,2799,Directed
1865,1122,Directed
1865,2998,Directed
1865,3884,Directed
1865,2464,Directed
1865,2206,Directed
1865,362,Directed
1865,3244,Directed
1865,672,Directed
1865,3164,Directed
1865,3552,Directed
1865,1977,Directed
1865,2772,Directed
1865,2688,Directed
1865,325,Directed
1865,3883,Directed
1865,2474,Directed
1865,3437,Directed
1865,1497,Directed
1865,965,Directed
1865,48,Directed
