Source,Target,Type
1,2,Directed
2,3,Directed
2,17,Directed
3,4,Directed
4,5,Directed
4,855,Directed
6,7,Directed
6,880,Directed
7,8,Directed
7,22,Directed
7,23,Directed
7,411,Directed
7,453,Directed
7,454,Directed
7,889,Directed
8,9,Directed
8,479,Directed
8,480,Directed
8,561,Directed
9,10,Directed
9,537,Directed
9,561,Directed
9,1074,Directed
10,11,Directed
10,536,Directed
10,561,Directed
11,12,Directed
11,560,Directed
12,13,Directed
12,27,Directed
12,30,Directed
12,559,Directed
13,14,Directed
13,596,Directed
13,1138,Directed
14,34,Directed
15,16,Directed
16,17,Directed
17,18,Directed
18,19,Directed
18,823,Directed
19,20,Directed
19,388,Directed
19,389,Directed
19,627,Directed
20,21,Directed
22,409,Directed
22,885,Directed
23,24,Directed
23,537,Directed
23,538,Directed
23,1078,Directed
23,1109,Directed
24,25,Directed
24,1110,Directed
25,26,Directed
26,27,Directed
27,28,Directed
27,561,Directed
28,29,Directed
29,30,Directed
30,31,Directed
31,32,Directed
32,33,Directed
33,34,Directed
34,1159,Directed
35,36,Directed
35,392,Directed
36,37,Directed
36,631,Directed
37,38,Directed
37,628,Directed
37,863,Directed
37,1011,Directed
38,39,Directed
39,40,Directed
39,412,Directed
39,413,Directed
39,628,Directed
39,875,Directed
39,876,Directed
39,881,Directed
40,41,Directed
41,42,Directed
42,43,Directed
42,876,Directed
42,881,Directed
42,882,Directed
43,44,Directed
43,50,Directed
43,51,Directed
43,411,Directed
43,454,Directed
43,455,Directed
44,45,Directed
45,46,Directed
45,888,Directed
46,47,Directed
46,485,Directed
46,889,Directed
46,1036,Directed
47,48,Directed
47,73,Directed
47,486,Directed
47,890,Directed
48,49,Directed
48,74,Directed
49,50,Directed
49,485,Directed
49,629,Directed
50,51,Directed
50,629,Directed
51,52,Directed
51,538,Directed
51,901,Directed
52,53,Directed
53,54,Directed
53,629,Directed
54,55,Directed
54,540,Directed
55,56,Directed
56,57,Directed
56,540,Directed
56,541,Directed
56,912,Directed
57,86,Directed
57,541,Directed
57,562,Directed
58,59,Directed
59,60,Directed
61,62,Directed
62,63,Directed
62,1144,Directed
64,65,Directed
64,394,Directed
64,411,Directed
64,842,Directed
65,66,Directed
65,393,Directed
65,394,Directed
65,1012,Directed
66,67,Directed
67,68,Directed
68,69,Directed
68,669,Directed
68,863,Directed
69,70,Directed
69,414,Directed
69,415,Directed
69,630,Directed
69,633,Directed
70,71,Directed
70,417,Directed
70,456,Directed
70,670,Directed
70,879,Directed
71,72,Directed
72,73,Directed
72,671,Directed
72,888,Directed
73,1037,Directed
74,75,Directed
75,76,Directed
75,486,Directed
76,77,Directed
77,78,Directed
77,677,Directed
78,79,Directed
79,80,Directed
80,81,Directed
81,82,Directed
81,540,Directed
81,541,Directed
81,542,Directed
81,904,Directed
82,83,Directed
83,84,Directed
83,632,Directed
84,85,Directed
84,115,Directed
84,116,Directed
85,86,Directed
85,914,Directed
86,154,Directed
86,1143,Directed
87,88,Directed
88,89,Directed
89,90,Directed
90,91,Directed
90,604,Directed
90,798,Directed
91,92,Directed
92,93,Directed
93,374,Directed
93,375,Directed
93,600,Directed
94,95,Directed
95,96,Directed
95,668,Directed
96,97,Directed
97,98,Directed
98,99,Directed
99,100,Directed
100,101,Directed
100,137,Directed
100,633,Directed
100,681,Directed
101,102,Directed
101,397,Directed
101,398,Directed
102,103,Directed
103,104,Directed
103,669,Directed
104,105,Directed
105,106,Directed
105,670,Directed
105,671,Directed
105,673,Directed
106,107,Directed
106,457,Directed
106,458,Directed
106,693,Directed
106,891,Directed
107,108,Directed
107,144,Directed
107,673,Directed
107,674,Directed
107,695,Directed
107,1040,Directed
107,1044,Directed
108,109,Directed
108,496,Directed
109,110,Directed
109,1079,Directed
110,111,Directed
110,493,Directed
110,494,Directed
110,495,Directed
110,1042,Directed
111,112,Directed
112,113,Directed
112,905,Directed
113,114,Directed
114,115,Directed
115,149,Directed
115,542,Directed
116,117,Directed
117,118,Directed
117,150,Directed
117,151,Directed
118,119,Directed
119,120,Directed
120,121,Directed
120,1145,Directed
121,122,Directed
121,1145,Directed
122,123,Directed
122,1150,Directed
123,124,Directed
123,1149,Directed
125,126,Directed
125,573,Directed
126,127,Directed
126,1161,Directed
127,128,Directed
128,572,Directed
129,130,Directed
130,131,Directed
130,164,Directed
130,372,Directed
131,132,Directed
132,133,Directed
133,134,Directed
133,678,Directed
134,135,Directed
136,137,Directed
136,681,Directed
136,843,Directed
137,138,Directed
137,169,Directed
137,171,Directed
137,399,Directed
137,690,Directed
137,994,Directed
138,139,Directed
138,864,Directed
139,140,Directed
139,422,Directed
139,423,Directed
140,141,Directed
141,142,Directed
141,178,Directed
141,179,Directed
141,459,Directed
141,687,Directed
141,715,Directed
142,143,Directed
143,144,Directed
143,497,Directed
143,498,Directed
143,893,Directed
144,145,Directed
144,496,Directed
144,497,Directed
144,1080,Directed
145,146,Directed
145,701,Directed
145,906,Directed
145,907,Directed
146,147,Directed
147,148,Directed
148,149,Directed
148,543,Directed
149,150,Directed
151,152,Directed
152,153,Directed
152,917,Directed
153,154,Directed
154,155,Directed
155,156,Directed
155,1146,Directed
156,157,Directed
156,576,Directed
157,576,Directed
158,159,Directed
158,577,Directed
159,160,Directed
160,161,Directed
160,210,Directed
161,162,Directed
162,163,Directed
163,212,Directed
164,165,Directed
164,373,Directed
164,599,Directed
164,844,Directed
166,167,Directed
167,168,Directed
168,169,Directed
168,856,Directed
169,170,Directed
170,171,Directed
171,172,Directed
171,400,Directed
172,173,Directed
173,174,Directed
173,423,Directed
173,424,Directed
173,864,Directed
174,175,Directed
175,176,Directed
176,177,Directed
177,178,Directed
177,715,Directed
177,1030,Directed
179,180,Directed
179,499,Directed
180,181,Directed
180,460,Directed
180,499,Directed
180,1031,Directed
180,1032,Directed
181,182,Directed
181,234,Directed
181,235,Directed
181,499,Directed
181,735,Directed
181,1049,Directed
182,183,Directed
183,184,Directed
184,185,Directed
185,186,Directed
186,187,Directed
186,188,Directed
186,718,Directed
187,188,Directed
187,1083,Directed
188,189,Directed
188,545,Directed
188,546,Directed
188,699,Directed
189,190,Directed
189,719,Directed
190,191,Directed
190,543,Directed
190,1113,Directed
191,192,Directed
191,719,Directed
192,193,Directed
192,194,Directed
193,194,Directed
193,1153,Directed
194,195,Directed
194,196,Directed
194,1116,Directed
195,196,Directed
195,1124,Directed
196,197,Directed
196,241,Directed
196,1153,Directed
197,198,Directed
197,242,Directed
197,243,Directed
198,199,Directed
199,200,Directed
200,201,Directed
201,202,Directed
202,203,Directed
203,204,Directed
203,246,Directed
203,577,Directed
204,205,Directed
204,206,Directed
204,247,Directed
204,931,Directed
204,932,Directed
205,206,Directed
206,207,Directed
206,248,Directed
206,1170,Directed
207,208,Directed
208,209,Directed
210,211,Directed
211,212,Directed
211,933,Directed
212,1171,Directed
213,214,Directed
214,249,Directed
215,216,Directed
216,217,Directed
217,218,Directed
217,288,Directed
217,616,Directed
218,219,Directed
219,220,Directed
220,221,Directed
221,222,Directed
221,703,Directed
222,223,Directed
223,224,Directed
223,802,Directed
224,225,Directed
224,808,Directed
225,226,Directed
225,708,Directed
225,709,Directed
226,227,Directed
227,228,Directed
228,811,Directed
228,834,Directed
228,835,Directed
229,230,Directed
229,730,Directed
229,731,Directed
229,858,Directed
230,231,Directed
230,400,Directed
231,232,Directed
232,233,Directed
232,401,Directed
232,424,Directed
233,234,Directed
233,427,Directed
233,428,Directed
233,1033,Directed
234,1031,Directed
