,source,target
0,2,1
1,2,194
2,2,4
3,2,167
4,2,192
5,2,368
6,2,458
7,2,526
8,2,527
9,2,771
10,1,367
11,1,506
12,1,69
13,1,125
14,1,149
15,1,156
16,1,166
17,1,193
18,1,455
19,1,527
20,367,157
21,367,166
22,367,168
23,367,305
24,367,368
25,367,657
26,367,675
27,367,697
28,506,5
29,506,18
30,506,83
31,506,478
32,506,485
33,506,492
34,506,13
35,506,33
36,506,469
37,506,507
38,506,528
39,506,530
40,506,555
41,506,574
42,506,582
43,506,663
44,506,788
45,506,1005
46,506,959
47,194,173
48,194,193
49,194,4
50,194,105
51,194,186
52,194,205
53,194,794
54,194,300
55,4,3
56,4,105
57,4,507
58,4,527
59,4,34
60,4,360
61,4,432
62,4,452
63,4,458
64,3,323
65,3,325
66,105,103
67,507,452
68,507,486
69,507,488
70,507,493
71,507,498
72,507,470
73,507,497
74,507,527
75,507,535
76,507,550
77,507,556
78,507,557
79,507,559
80,507,583
81,507,714
82,507,747
83,507,1006
84,507,509
85,507,515
86,507,558
87,527,360
88,527,432
89,527,452
90,527,461
91,527,515
92,527,516
93,527,459
94,527,463
95,527,556
96,527,558
97,527,561
98,527,641
99,527,713
100,527,1006
101,527,606
102,527,875
103,6,5
104,6,8
105,6,60
106,6,227
107,5,228
108,5,528
109,5,627
110,5,657
111,5,82
112,5,162
113,5,182
114,5,562
115,228,197
116,228,227
117,228,229
118,228,235
119,228,236
120,228,259
121,228,307
122,528,29
123,528,529
124,528,530
125,528,532
126,528,534
127,528,539
128,528,635
129,528,533
130,528,537
131,528,538
132,528,547
133,528,555
134,627,16
135,627,85
136,627,108
137,627,549
138,627,551
139,627,81
140,627,83
141,627,141
142,627,628
143,627,658
144,627,688
145,627,869
146,627,888
147,627,713
148,657,33
149,657,35
150,657,142
151,657,180
152,657,562
153,657,641
154,657,53
155,657,65
156,657,517
157,657,658
158,657,890
159,657,659
160,657,663
161,8,7
162,8,156
163,60,58
164,60,59
165,60,195
166,60,227
167,227,457
168,227,230
169,227,234
170,7,247
171,7,336
172,7,457
173,156,127
174,156,157
175,156,838
176,156,161
177,10,9
178,10,26
179,10,181
180,10,488
181,10,47
182,10,86
183,10,90
184,9,25
185,9,464
186,9,474
187,9,11
188,9,12
189,9,18
190,9,46
191,9,78
192,9,204
193,25,16
194,25,18
195,25,26
196,25,29
197,25,85
198,25,139
199,25,184
200,25,481
201,25,487
202,25,500
203,25,661
204,25,671
205,25,729
206,25,862
207,25,864
208,25,724
209,464,461
210,464,463
211,464,467
212,464,471
213,474,204
214,474,533
