source,target
7188,1
1,430
1,3134
1,3026
1,3010
1,804
1,160
1,95
1,377
1,888
1,89
1,1901
1,161
1,256
1,351
1,3329
1,3341
1,649
1,1583
1,87
1,37
1,309
1,821
1,1496
1,637
1,964
1,594
1,2249
1,554
1,20
1,2227
1,1315
1,519
1,1316
1,2149
1,1724
1,18
1,57
1,118
1,3254
1,1177
1,112
1,11
1,586
1,35
1,15
1,1445
1,152
1,2
1,113
1,44
1,2401
1,10
1,2378
1,126
1,3245
1,783
1,493
1,1358
1,1180
1,529
1,333
1,1538
1,2282
1,1519
1,2966
1,474
1,330
1,958
1,17
1,1295
1,38
1,1952
1,223
1,625
1,1392
1,3355
1,1881
1,58
1,96
1,1580
1,196
1,146
1,416
1,1198
1,3319
1,1867
1,896
1,617
1,3300
1,1877
1,462
1,3279
1,454
1,1860
1,121
1,151
1,1570
1,1573
1,1063
1,1353
1,459
1,2334
1,1267
1,1060
1,1061
1,7431
1,1355
1,71
1,3070
1,2113
1,3001
1,396
1,2260
1,142
1,2238
1,123
1,2942
1,1509
1,7410
1,1760
1,2876
1,259
1,1493
1,2845
1,370
1,2844
1,2167
1,156
1,2808
1,255
1,736
1,7603
1,346
1,9
1,75
1,175
1,2754
1,22
1,155
1,1261
1,2552
1,2586
1,710
1,578
1,472
1,2472
1,1606
1,4
1,563
1,744
1,3422
1,250
1,249
1,2427
1,3414
1,1590
1,2305
1,1900
1,3392
1,1065
1,1147
1,1072
1,3375
1,1024
1,709
1,1382
1,3332
1,1885
1,3330
1,1197
1,3316
1,1886
1,154
1,1522
1,2391
1,3298
1,432
1,3292
1,3290
1,7597
1,3274
1,1875
1,291
1,158
1,1579
1,1846
1,1066
1,290
1,3233
1,891
1,247
1,1856
1,3211
1,115
1,1365
1,483
1,3210
1,3189
1,3193
1,2352
1,1847
1,3173
1,1051
1,1843
1,2342
1,7341
1,3139
1,1186
1,3167
1,3149
1,1842
1,3156
1,3141
1,817
1,1840
1,1839
1,2324
1,3143
1,3142
1,174
1,2315
1,1356
1,1835
1,296
1,3118
1,1542
1,3111
1,753
1,3088
1,395
1,3068
1,3042
1,1442
1,1339
1,596
1,2281
1,222
1,194
1,3064
1,1812
1,1796
1,701
1,124
1,3057
1,7427
1,2276
1,2271
1,1525
1,2235
1,3027
1,2090
1,1342
1,331
1,3023
1,2261
1,68
1,116
1,1043
1,3020
1,491
1,179
1,2252
1,214
1,439
1,2147
1,1167
1,697
1,67
1,1793
1,258
1,1340
1,2996
1,1520
1,1336
1,30
1,178
1,747
1,2962
1,2952
1,455
1,260
1,623
1,29
1,1510
1,2927
1,301
1,2907
1,2909
1,1148
1,955
1,1502
1,2853
1,1500
1,2178
1,1320
1,874
1,2177
1,2892
1,636
1,1034
1,1494
1,276
1,1318
1,117
1,1492
1,1302
1,1313
1,1491
1,2870
1,2181
1,1309
1,1750
1,2848
1,1458
1,951
1,1029
1,2176
1,2846
1,347
1,2173
1,2826
1,1742
1,2166
1,2823
1,2820
1,2814
1,1736
1,1025
1,1482
1,1483
1,2152
1,2806
1,1128
1,2801
1,2795
1,1290
1,1288
1,1436
1,2498
1,2784
1,587
1,2780
1,2779
1,305
1,944
1,2129
1,683
1,42
1,1136
1,1283
1,2127
1,2093
1,1284
1,72
1,264
1,2756
1,1285
1,613
1,304
1,1282
1,4721
1,1475
1,2746
1,1715
1,734
1,2108
1,1923
1,1465
1,2742
1,2117
1,1720
1,90
1,2731
1,1457
1,2725
1,2109
1,543
1,2102
1,712
1,231
1,2687
1,1708
1,1129
1,76
1,2065
1,1251
1,1248
1,725
1,2559
1,507
1,1942
1,1232
1,534
1,994
1,503
1,2448
1,846
1,1028
1,2367
1,2296
1,379
1,3421
1,3418
1,3402
1,3385
1,3367
1,3349
1,545
1,1589
1,3339
1,2402
1,3335
1,3317
1,1862
1,3313
1,3295
1,2383
1,1195
1,3283
1,2375
1,292
1,3256
1,3259
1,3253
1,3247
1,2368
1,1574
1,3215
1,3202
1,2351
1,3163
1,2338
1,1521
1,3148
1,3124
1,3113
1,3013
1,1826
1,3103
1,1822
1,3101
1,3083
1,3084
1,3078
1,3062
1,3059
1,2273
1,3048
1,523
1,373
1,1331
1,3004
1,3006
1,810
1,3000
1,2999
1,2989
1,1337
1,2941
1,2947
1,2945
1,2926
1,2217
1,1505
1,2920
1,2782
1,2904
1,2898
1,2198
1,2881
1,2185
1,2858
1,1749
1,2837
1,517
1,2163
1,2830
1,2632
1,796
1,2810
1,2144
1,2136
1,2793
1,2786
1,2783
1,2775
1,2772
1,2771
1,2767
1,2764
1,2763
1,2752
1,2750
1,2747
1,2119
1,2744
1,2743
1,2707
1,2713
1,2700
1,1413
1,2695
1,2619
1,2605
1,1117
1,300
1,7348
1,7425
1,7557
1,7589
430,13
430,59
430,247
430,831
430,817
430,1055
430,7595
430,7509
3134,22
3134,27
3134,95
3134,617
804,25
804,26
804,85
804,204
804,7583
804,1020
160,18
160,57
160,89
160,7579
160,952
160,1845
160,817
160,945
160,294
95,2
95,3
95,4
95,6
95,7
95,8
95,11
95,13
95,15
95,19
95,24
95,25
95,26
95,29
95,30
95,31
95,32
95,33
95,36
95,38
95,40
95,41
95,42
95,43
95,47
95,56
95,58
95,62
95,67
95,73
95,75
95,82
95,85
95,88
95,92
95,93
95,3179
95,391
95,526
95,174
95,315
95,493
95,108
95,278
95,245
95,1065
95,2336
95,413
95,2330
95,242
95,331
95,345
95,5679
95,179
95,966
95,411
95,2410
95,3403
95,2380
95,464
95,96
95,191
95,205
95,1889
95,185
95,1370
95,332
95,666
95,136
95,3246
95,246
95,2358
95,553
95,244
95,1045
95,1278
95,362
95,1307
95,241
95,7432
95,177
95,288
95,172
95,643
95,2304
95,941
95,752
95,1171
95,1348
95,287
95,123
95,813
95,882
95,396
95,428
95,125
95,111
95,145
95,424
95,2369
95,7604
95,7598
95,7601
95,7602
95,7584
95,188
95,394
95,1829
95,221
95,105
95,154
95,2953
95,373
95,3302
95,5342
95,1874
95,104
95,7550
95,318
95,228
95,7497
95,103
95,2257
95,7339
95,124
95,7580
95,7599
95,7574
95,7581
95,7600
95,7548
377,363
377,399
377,3413
888,58
888,213
888,261
888,1886
89,2
89,10
89,21
89,28
89,29
89,37
89,41
89,45
89,48
89,77
89,85
89,254
89,373
89,395
89,699
89,121
89,302
89,132
89,2043
89,175
89,1193
89,124
89,2269
89,203
89,519
89,945
89,122
89,946
89,154
89,587
89,629
89,1708
89,516
89,2097
89,253
89,90
89,1690
89,406
89,1267
89,2628
89,2625
89,2623
89,931
89,1453
89,2033
89,3774
89,369
89,7564
89,2096
89,7439
161,2
161,7
161,10
161,31
161,41
161,43
161,69
161,77
161,78
161,103
161,156
161,550
161,260
161,1322
161,635
161,1022
161,204
161,7600
161,695
161,1324
161,1039
161,623
161,454
161,2213
161,592
161,2209
161,1765
161,1770
161,1505
161,520
161,690
161,1494
161,1140
161,798
161,1313
161,188
256,9
256,18
256,30
256,38
256,40
256,42
256,57
256,60
256,65
256,67
256,69
256,75
256,121
256,156
256,175
256,236
256,1739
256,329
256,485
256,632
256,947
256,479
256,4934
256,1970
256,943
256,2792
256,2790
256,346
256,7603
256,672
256,7592
351,3
351,12
351,34
351,36
351,58
351,82
351,96
351,105
351,120
351,222
351,1893
351,7560
351,432
351,1594
351,759
351,1924
649,8
649,12
649,33
649,34
649,105
649,118
649,123
649,125
649,310
649,1192
649,1885
649,650
649,1197
87,2
87,3
87,7
87,11
87,15
87,19
87,27
87,31
87,33
87,42
87,58
87,64
87,67
87,85
87,86
87,397
87,824
87,269
87,96
87,291
87,1045
87,526
87,104
87,2155
87,602
87,454
