,source,target
0,9,4
1,9,21
2,9,29
3,9,38
4,9,46
5,9,60
6,4,15
7,4,60
8,10,6
9,10,7
10,10,14
11,10,18
12,10,33
13,10,42
14,10,58
15,6,14
16,6,57
17,6,58
18,7,14
19,7,18
20,7,55
21,7,57
22,7,58
23,11,1
24,11,3
25,11,30
26,11,43
27,11,48
28,1,15
29,1,16
30,1,41
31,1,43
32,1,48
33,3,43
34,3,45
35,3,62
36,14,18
37,14,33
38,14,42
39,14,55
40,14,58
41,15,17
42,15,25
43,15,34
44,15,35
45,15,38
46,15,39
47,15,41
48,15,44
49,15,51
50,15,53
51,16,19
52,16,25
53,16,41
54,16,46
55,16,56
56,16,60
57,17,21
58,17,34
59,17,38
60,17,39
61,17,51
62,18,2
63,18,23
64,18,26
65,18,28
66,18,32
67,18,58
68,2,20
69,2,27
70,2,28
71,2,29
72,2,37
73,2,42
74,2,55
75,19,21
76,19,22
77,19,25
78,19,30
79,19,46
80,19,52
81,20,8
82,20,31
83,20,55
84,8,28
85,8,31
86,8,41
87,8,55
88,21,29
89,21,37
90,21,39
91,21,45
92,21,48
93,21,51
94,22,30
95,22,34
96,22,38
97,22,46
98,22,52
99,25,30
100,25,46
101,25,52
102,26,27
103,26,28
104,27,28
105,29,31
106,29,48
107,30,36
108,30,44
109,30,46
110,30,52
111,30,53
112,31,43
113,31,48
114,33,61
115,34,13
116,34,35
117,34,38
118,34,39
119,34,41
120,34,44
121,34,51
122,35,38
123,35,45
124,35,50
125,37,24
126,37,38
127,37,40
128,37,41
129,37,60
130,24,46
131,24,52
132,38,41
133,38,44
134,38,46
135,38,62
136,39,44
137,39,45
138,39,53
139,39,59
140,40,58
141,41,53
142,42,55
143,42,58
144,43,48
145,43,51
146,44,47
147,44,54
148,46,51
149,46,52
150,46,60
151,47,50
152,51,52
153,52,5
154,52,12
155,52,56
156,54,62
157,55,58
158,58,49
