,source,target
0,AER,KZN
1,AER,DYU
2,AER,KIV
3,AER,MSQ
4,AER,TAS
5,AER,TZX
6,AER,EVN
7,AER,KRR
8,AER,DME
9,AER,IST
10,AER,LED
11,AER,OMS
12,AER,SVO
13,AER,SVX
14,AER,LBD
15,AER,VKO
16,AER,KJA
17,AER,NSK
18,KZN,ASF
19,KZN,CEK
20,KZN,DME
21,KZN,EGO
22,KZN,LED
23,KZN,SVX
24,KZN,AYT
25,KZN,DWC
26,KZN,SHJ
27,KZN,FEG
28,KZN,SKD
29,KZN,TAS
30,KZN,ALA
31,KZN,SVO
32,KZN,DYU
33,KZN,LBD
34,KZN,IST
35,KZN,UFA
36,KZN,FRU
37,KZN,OSS
38,DYU,MRV
39,DYU,CEK
40,DYU,OVB
41,DYU,DME
42,DYU,NBC
43,DYU,LED
44,DYU,SVX
45,DYU,IKT
46,DYU,DXB
47,DYU,URC
48,DYU,UFA
49,DYU,DEL
50,DYU,KBL
51,DYU,FRA
52,DYU,KRR
53,DYU,KJA
54,DYU,ALA
55,DYU,FRU
56,DYU,IKA
57,DYU,IST
58,DYU,SGC
59,DYU,SHJ
60,DYU,MHD
61,DYU,OMS
62,DYU,REN
63,DYU,GOJ
64,DYU,KUF
65,DYU,ROV
66,DYU,VOG
67,KIV,DME
68,KIV,LED
69,KIV,LCA
70,KIV,DWC
71,KIV,MUC
72,KIV,BLQ
73,KIV,TSF
74,KIV,ATH
75,KIV,DUB
76,KIV,FCO
77,KIV,LIS
78,KIV,MXP
79,KIV,STN
80,KIV,VCE
81,KIV,VIE
82,KIV,VRN
83,KIV,FRA
84,KIV,RIX
85,KIV,IST
86,KIV,SGC
87,KIV,BVA
88,KIV,KBP
89,KIV,OTP
90,KIV,CIA
91,MSQ,DME
92,MSQ,KGD
93,MSQ,GYD
94,MSQ,LED
95,MSQ,SVX
96,MSQ,GVA
97,MSQ,LCA
98,MSQ,ARN
99,MSQ,BCN
100,MSQ,LGW
101,MSQ,AMS
