source,target
1,8602
1,6881
1,6173
1,5684
1,2553
1,4186
1,898
1,8333
1,5777
1,1427
1,3479
1,9274
1,1366
1,7869
1,4198
1,6727
1,7282
1,8957
1,8708
8602,1366
8602,2553
8602,8333
8602,9274
6881,898
6881,2889
6881,3775
6881,4186
6881,4198
6881,5034
6881,9161
6881,7282
6881,8476
6173,898
6173,1855
6173,2889
6173,4198
6173,5181
6173,5777
6173,8708
5684,2414
5684,5890
2553,1263
2553,2217
2553,2414
2553,7529
2553,9274
2553,8409
2553,8333
2553,5252
2553,7943
4186,898
4186,1566
4186,3296
4186,7671
4186,7282
4186,5034
4186,7569
4186,3660
898,1427
898,5034
898,7282
898,1885
898,7522
8333,2217
8333,6147
8333,6727
8333,7529
8333,8326
8333,9274
5777,1427
5777,2889
5777,8536
1427,6205
1427,4198
1427,3479
1427,8536
3479,7943
3479,8536
3479,7536
3479,3479
9274,1366
9274,4308
9274,5252
9274,7869
9274,7943
1366,6870
1366,2217
1366,5181
1366,2237
1366,8664
1366,2689
7869,1236
7869,2689
7869,3579
7869,4308
4198,2889
6727,448
6727,907
6727,2072
6727,2949
6727,4294
6727,6147
6727,8957
7282,5034
7282,7625
7282,9161
7282,7404
7282,7536
8957,4968
8957,6147
8957,7568
8957,7885
8957,8326
2176,44
2176,4256
2176,8383
2176,7364
2176,6902
3,6812
3,5179
3,6460
3,4564
6812,4564
6812,8822
6812,5671
5179,7155
5179,6460
5179,7914
6460,7607
4550,1393
4550,7481
4550,6581
6581,4570
6581,4958
6581,5059
6383,5630
6383,6844
6383,8061
6107,851
6107,7514
6107,6476
460,2355
460,2183
460,2717
5813,1137
5813,786
5813,354
716,2061
716,5682
716,6110
6025,8049
6025,4611
6025,8931
767,1965
767,3105
767,1845
13,6406
13,7943
13,2414
13,8409
13,7529
13,1263
6406,1615
6406,7885
6406,7081
6406,2326
6406,8326
7943,2217
7943,2414
7943,5890
7943,7529
2414,8409
2414,5252
8409,5252
7529,5252
1263,588
1263,5252
15,7153
15,3010
15,4056
15,6231
7153,2696
7153,2859
7153,8882
7153,8524
3010,4056
3010,6972
3010,5859
4056,5629
6231,6231
8760,7006
8760,6582
8760,4633
3759,575
3759,8129
3759,4872
19,19
19,2586
20,2840
20,7476
20,7248
2840,8100
2840,7248
7476,1651
7476,9173
7248,8685
7248,7248
2545,538
2545,684
2545,1988
2545,3498
2545,7288
2545,4136
8274,426
8274,7790
8274,1252
8274,2018
23,23
23,3064
5917,3909
5917,6707
5917,2633
25,2383
29,8022
29,6567
29,6890
8022,6567
8022,7572
8022,2468
6567,6556
30,3249
30,1637
30,798
30,3965
3249,2229
3249,2875
1637,5453
1637,5563
32,2202
32,7139
32,7958
32,4213
32,2672
32,5349
2202,7958
2202,5349
7139,264
7139,387
7139,522
7139,1063
7139,1818
7139,2353
7139,2672
7139,2938
7139,4789
7139,5200
7139,5950
7139,6823
7139,7139
7139,7777
7958,2494
7958,6703
4213,906
4213,2315
4213,7661
4213,7605
2672,4789
2672,6823
2672,5950
5349,2625
5349,2494
5349,7501
33,8068
33,904
33,5472
33,847
33,1317
33,4416
33,109
33,33
33,6838
33,3663
33,6536
8068,245
8068,4416
8068,6536
904,847
904,7148
5472,5311
5472,6536
847,3855
847,867
847,1317
847,7148
1317,7692
1317,4286
1317,4152
4416,245
4416,2959
4416,4166
4416,5747
4416,8284
4416,6536
4416,9124
109,6838
109,7245
6838,5311
3663,2239
3663,4833
3663,6323
3663,7148
6536,245
6536,4166
6536,5747
6536,7561
34,1414
34,34
34,4043
34,2752
34,4322
1414,4042
1414,2923
1414,742
4043,1813
4043,5461
4043,6093
2752,4322
2752,2726
2303,1663
2303,8979
2303,5026
5026,6574
5026,5355
5026,3282
36,220
36,2339
36,5704
38,9268
38,4585
38,6698
9268,2917
9268,9005
4585,8829
4585,4731
4585,5039
6698,4421
6698,4731
6698,7606
6698,1689
5544,6749
5544,3872
5544,3827
40,3505
40,5035
40,4925
40,65
3505,401
3505,5035
5035,7405
4925,1446
4925,4411
8962,4283
8962,956
8962,7426
1525,9141
1525,5939
1525,191
9141,9141
458,7016
458,3719
458,489
458,2988
489,6559
489,2900
47,5427
47,8283
47,4417
5427,4417
5427,8991
5427,8359
8283,4083
8283,5648
8283,7209
8283,8359
8283,8283
4417,581
4417,3394
4417,4083
4417,6979
4417,8359
4417,4812
4376,8834
4376,1725
4376,2641
50,3067
50,4656
50,3983
51,3230
51,5573
51,1077
51,3233
51,2345
3230,1077
3230,3652
5573,1237
5573,2345
5573,2654
5573,3233
1077,1064
1077,5463
3233,1064
3233,1393
3233,2345
2345,1237
2345,2654
3171,3457
3171,8645
3171,5778
53,4453
53,265
53,5624
53,69
53,3372
53,58
4453,69
4453,265
4453,4842
265,58
265,5732
265,5624
265,6257
265,3372
5624,58
5624,5624
69,8635
69,7396
3372,58
3372,358
3372,5732
3372,6257
58,8324
58,3867
58,5732
58,8013
58,6760
684,89
684,6100
684,3130
684,7266
684,4317
684,8736
684,8676
684,4886
684,114
4886,8328
4886,7266
4886,4079
9042,3411
9042,7004
9042,8434
9042,6394
7004,4679
7004,6373
6401,7993
6401,3639
6401,8718
7993,5140
7993,7993
8324,453
8324,6760
3867,1136
3867,6410
3867,6760
3867,5732
5732,340
5732,358
5732,3319
5732,3504
5732,3863
5732,4674
5732,7886
6760,4842
505,7288
505,2563
505,2576
505,6864
505,5491
505,4745
61,7564
61,2055
61,5092
61,9239
61,6552
7564,4995
7564,6768
7564,7860
7564,9239
7564,2055
2055,6925
2055,5598
2055,5007
2055,9239
5092,7402
5092,9239
5092,8886
5092,6552
5092,8670
9239,5598
9239,6552
9239,6925
9239,4995
6552,1184
6552,5598
6552,6073
6552,7793
6552,7402
1824,7699
1824,2862
1824,7402
1824,9037
1824,8610
64,3222
64,516
64,1074
3222,516
3222,2316
3222,7355
516,5344
516,2096
516,7355
516,2316
65,1446
65,5898
65,8898
1446,1282
1446,2181
1446,5645
1446,5898
5898,1644
5898,8778
8635,2642
8635,7396
8635,7515
8635,8635
7396,2017
4934,3858
4934,5069
4934,5281
4934,5895
1485,7803
1485,2148
1485,1733
72,2093
72,6664
72,4202
72,7824
2093,680
2093,2236
2093,9196
2093,3120
2093,4485
2093,7824
6664,7604
6664,9196
6664,6664
4202,8171
4202,9196
4202,2936
73,6374
73,4254
73,7438
73,4904
73,8772
6374,625
6374,771
6374,1233
6374,1951
6374,4904
6374,6085
6374,6115
4254,3259
4254,4151
4254,5054
4254,8772
4254,7438
4254,7451
