,source,target
0,1,180
1,1,2
2,2,114
3,2,137
4,114,8
5,114,118
6,114,119
7,114,129
8,114,141
9,114,144
10,114,174
11,114,193
12,137,27
13,137,138
14,137,212
15,3,107
16,3,121
17,3,149
18,3,164
19,3,165
20,3,174
21,3,183
22,3,195
23,3,22
24,3,4
25,3,46
26,3,57
27,3,69
28,57,14
29,69,5
30,5,112
31,5,122
32,5,123
33,5,23
34,5,45
35,5,6
36,5,66
37,5,67
38,5,68
39,112,32
40,23,179
41,23,32
42,23,65
43,45,14
44,45,19
45,45,37
46,45,44
47,45,51
48,7,21
49,7,8
50,21,14
51,21,19
52,21,37
53,21,44
54,8,19
55,8,71
56,19,15
57,19,16
58,19,18
59,19,101
60,19,106
61,19,20
62,19,84
63,71,18
64,71,146
65,71,184
66,9,10
67,9,11
68,9,116
69,9,117
70,9,188
71,11,115
72,11,14
73,116,115
74,116,192
75,117,115
76,117,192
77,14,101
78,14,106
79,14,141
80,14,15
81,14,16
82,14,17
83,14,18
84,14,190
85,14,20
86,14,43
87,14,53
88,14,62
89,14,77
90,14,84
91,14,88
92,14,89
93,14,99
94,12,13
95,13,61
96,13,65
97,13,72
98,13,74
99,61,20
100,61,111
101,61,129
102,61,175
103,61,177
104,61,203
105,61,62
106,61,74
107,65,176
108,65,189
109,65,70
110,65,78
111,72,73
112,72,75
113,106,37
114,106,47
115,16,37
116,18,37
117,190,44
118,20,187
119,20,37
120,20,44
121,20,60
122,20,86
123,43,44
124,84,44
125,84,102
126,99,26
127,99,44
128,37,100
129,37,143
130,37,50
131,187,196
132,44,200
133,60,196
134,86,196
135,86,87
136,179,134
137,179,136
138,32,110
139,32,111
140,32,134
141,32,135
142,32,136
143,32,167
144,32,168
145,32,169
146,32,172
147,32,33
148,24,144
149,24,189
150,24,25
151,144,145
152,144,148
153,144,162
154,144,181
155,144,191
156,26,108
157,26,109
158,26,131
159,26,198
160,26,199
161,26,201
162,26,202
163,26,27
164,26,38
165,26,39
166,26,58
167,26,59
168,38,85
169,39,85
170,34,104
171,34,105
172,34,127
173,34,128
174,34,140
175,34,146
176,34,159
177,34,204
178,34,35
179,34,48
180,34,79
181,34,80
182,127,47
183,146,158
184,159,47
185,159,158
186,48,47
187,143,197
188,40,147
189,40,148
190,40,41
191,40,42
192,147,124
193,147,161
194,148,124
195,148,161
196,51,166
197,51,194
198,51,52
199,47,150
200,47,153
201,47,163
202,47,184
203,47,49
204,184,158
205,102,103
206,124,125
207,124,126
208,162,161
